Property Name,City,Floor,Room #,Room Type,Bedspaces,# of washroom,"Monthly Rent
(Per Bedspace)",Monthly rent (For entire Unit),"Tenant 
Demography",Bed 1,Bed 2,Bed 3,Bed 4,Furnished,Utilities,Move in Date,Payment terms,Available Tenancies,Media Link,Key Features
"41 Ballinteer Crescent,Ballinteer, Dublin 16, D16E657",Dublin,Ground,1,Double,2,"1 Communal Washroom
",€700,,Female,Booked ,Booked ,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months & 4 months,Media Link,"Situated in the mature and sought-after suburb of Ballinteer, this expansive semi-detached home offers modern, light-filled living in a quiet residential setting. The property features a stylish interior with generous room proportions, ideal for students or professionals.

Interior & Facilities

-A high-end, contemporary grey kitchen featuring a large central island with seating, marble-effect floor tiles, and skylights that bathe the space in natural light.
-A spacious open-plan reception room with polished wood flooring, a modern wall-mounted fireplace, and elegant furnishings.
-Six well-appointed bedrooms including double and single options, featuring bespoke built-in wardrobes and large windows.
-A beautiful sheltered patio area leading to a meticulously maintained private lawned garden.
-Multiple sleek bathrooms finished with contemporary tiling and high-quality fixtures.

Transport & Connectivity

Bus Routes: Highly accessible via the 14, 16, 116, and 161 routes, providing direct access to Dublin City Centre.
LUAS (Green Line): Balally and Dundrum stops are approximately a 15–20 min walk away.
M50 Motorway: Just a 5-minute drive away, offering easy access to all major national routes.

Universities:

University College Dublin (UCD): ~15 min by bus / 10 min drive.
Trinity College Dublin: ~35 min via bus or LUAS.
TU Dublin (Tallaght): ~20 min drive via M50"
"41 Ballinteer Crescent,Ballinteer, Dublin 16, D16E657",,First,2,Double,2,"1 Communal Washroom
",€700,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months & 4 months,,
"41 Ballinteer Crescent,Ballinteer, Dublin 16, D16E657",,First,3,Double,2,,€700,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"41 Ballinteer Crescent,Ballinteer, Dublin 16, D16E657",,First,4,Single,1,,€850,,Male,Booked,NA,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"41 Ballinteer Crescent,Ballinteer, Dublin 16, D16E657",,First,5,Ensuite Double,2,1 Ensuite Washroom,€750,,Female,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"41 Ballinteer Crescent,Ballinteer, Dublin 16, D16E657",,Second,6,Double,2,1 Communal Toilet,€700,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"41 Ballinteer Crescent,Ballinteer, Dublin 16, D16E657",,Second,7,Single,1,,€850,,Female,Booked,NA,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"Charles Street, Great, Dublin 1",Dublin,First,1,Double (Single beds),2,1 Communal Washroom,€850,,Male,Booked,Booked,NA,NA,Yes,ALL-Inclusive,15th Aug 2026,1 month rent as deposit + First & Last months rent, 12 months,Media Link,"Located in the heart of Dublin 1, this property offers a newly refurbished living experience. Just minutes from O’Connell Street, it places residents at the center of the city’s major transport and business hubs.

Interior & Facilities

- A cozy common room with leather seating and wood-effect flooring.
- Fully fitted with a tiled splashback, integrated oven, hob, and washing machine.
- Fully furnished bedrooms (Single, Double, and Triple options) featuring built-in wardrobes and ample natural light.
- High-speed Wi-Fi, central heating, and inclusive utility bills for easy living.

Transport & Connectivity

Bus Stops: Multiple routes within a short walking distance.
LUAS (Tram): A short stroll to nearby green and red line stops.
Connolly Station: 13-minute walk for DART and National Rail services.
Dublin Airport: Approximately 8 km away, accessible via airport coach hubs nearby.

Universities:

Trinity College Dublin: 15-minute walk / 5-minute cycle.
Dublin City University (DCU): Easily accessible via local bus routes.
TU Dublin (Technological University): Within comfortable traveling distance"
"Charles Street, Great, Dublin 1",,First,2,Triple (Single beds),3,,€700,,Female,Booked,Booked,Available,NA,Yes,ALL-Inclusive,15th Aug 2026,1 month rent as deposit + First & Last months rent, 12 months,,
"ASGARD,NEW WESTFIELDS, NORTH CIRCULAR ROAD, LIMERICK, V94 T4CW",Limerick,Ground,1,Triple (Single beds),3,1 Communal Washroom,€550,,Female,Booked,Booked,Booked,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,Media Link,"Located in the exclusive New Westfields enclave on the prestigious North Circular Road, this beautifully presented residence offers a high-end living experience just minutes from Limerick city centre. The property combines privacy and luxury with modern, light-filled interiors.

-Features a bespoke kitchen with state-of-the-art appliances, multiple reception rooms with high ceilings, and spacious bedrooms with quality finishes.
-Residents enjoy meticulously landscaped gardens, an expansive patio for outdoor entertaining, and a secluded setting in a peaceful cul-de-sac.
-Situated within walking distance of renowned schools like Ard Scoil Rís and Villiers, and close to the Limerick Lawn Tennis Club.

Transport & Connectivity

Limerick City Centre: 15 min walk / 5 min drive.
Bus Services: Local routes including the 302 (Caherdavin) and 306 (Edward Street) serve the nearby Shelbourne Road area.
Colbert Station (Bus/Rail): ~25 min walk / 8 min drive.
M7 Motorway: Direct access for seamless commuting to Dublin, Shannon, or Galway.

Travel to Universities

TUS Moylish (Limerick Institute of Technology): 15-20 min walk / 5 min cycle.
University of Limerick (UL): 15 min drive / 30 min via bus from city centre.
"
