Property Name,City,Floor,Room #,Room Type,Bedspaces,# of washroom,"Monthly Rent
(Per Bedspace)",Monthly rent (For entire Unit),"Tenant 
Demography",Bed 1,Bed 2,Bed 3,Bed 4,Furnished,Utilities,Move in Date,Payment terms,Available Tenancies,Media Link,Key Features
"E7 8PF, Shaftsbury Rd, London",London,Ground,1,Big Double,2,"2 
Communal washrooms",£550,,,Available,Available,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,12 Months,Media Link,"- A newly re-furbhished & furnished property 10 mins walk away from the high street and close to all amenities essential for students. 
- Every room is furnished with a double bed and ample storage space. There are 2 washrooms in the property and 1 Ensuite washroom in the loft room.
- The kitchen and hall is newly furnished with all white good available
- 8 mins walk to the nearest tube station & 5 mins walk to the closest bus station.
- Below is the travel time to prominent universities

QMUL Mile End - 34 mins
UEL Stratford - 24 mins 
UEL Dockland - 37 mins 
Ravensbourne - 36 mins "
,,Ground,2,Double,2,,£500,,Male,Booked,Booked,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,12 Months,,
,,First,3,Big Double,2,,£550,,Male,Booked,Available,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,12 Months,,
,,First,4,Double,2,,£500,,Male,Booked,Available,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,12 Months,,
,,First,5,Big Double,2,,£550,,,Available,Available,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,12 Months,,
,,Loft,6,Big Double ensuite,2,1 Ensuite Washroom,£750,,,Available,Available,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,12 Months,,
"E15 1LZ, Chobham Rd, London",London,Ground,1,Big Double ensuite,2,1 Ensuite Washroom,£750,,Female,Booked,Booked,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,4 Months minimum Tenancy,Media Link,"- A grand property with an all-en-suite setup and a big backyard.
- The property is very close to the high street, with 7-minute walk to Leyton Tube station and 8-minute walk to Maryland Tube station
- The property has 7 ensuite rooms and 2 extra washrooms, a fully furnished big kitchen/ living space. Single Beds in all rooms. Great for Female students/groups
- Below is the travel time to prominent universities

QMUL Mile End - 34 mins 
UEL Stratford - 18 mins walk 
UEL Dockland - 36 mins 
Ravensbourne - 31 mins 
University of Greenwich - 47 mins "
,,Ground,2,Double ensuite,2,1 Ensuite Washroom,£700,,Male,Booked,Booked,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,4 Months minimum Tenancy,,
,,Ground,3,Big Double ensuite,2,1 Ensuite Washroom,£750,,Male,Booked,Booked,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,4 Months minimum Tenancy,,
,,Ground,4,Double ensuite,2,1 Ensuite Washroom,£700,,Female,Booked,Booked,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,4 Months minimum Tenancy,,
,,Ground,5,Triple ensuite,3,1 Ensuite Washroom,£500,,Male,Booked,Booked,Booked,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,4 Months minimum Tenancy,,
,,First,6,Triple ensuite,3,1 Ensuite Washroom,£525,,Female,Booked,Booked,Booked,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,4 Months minimum Tenancy,,
,,First,7,Triple ensuite,3,1 Ensuite Washroom,£525,,Male,Booked,Booked,Booked,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,4 Months minimum Tenancy,,
"E16 3LL, MacGregor Rd, London",London,Ground,1,Big Double,2,"2 
Communal washrooms",£475,,Male,Booked,Booked,NA,,Fully furnished,Included all Bills,1 Sep 2026,Deposit + 1 Month,12 Months,Media Link,"- A newly refurbished property with 5 double bed rooms and 2 communal washrooms
- Only 8 mins walk away to the closest bus station and 15 min away walk away to Custom House and Prince regent DLR station
- The property comes with everything new - Beds, mattresses, kitchen appliances etc.
- Below is the travel time to universities - 

QMUL - 39 mins
UEL Stratford  - 34 mins
UEL Dockland - 14 mins
Ravensbourne - 40 mins
University of Greenwich - 37 mins"
,,Ground,2,Big Double,2,,£475,,Male,Booked,Booked,NA,,Fully furnished,Included all Bills,1 Sep 2026,Deposit + 1 Month,12 Months,,
,,First,3,Single,1,,£600,,Male,Booked,NA,NA,,Fully furnished,Included all Bills,1 Sep 2026,Deposit + 1 Month,12 Months,,
,,First,4,Compact Double,2,,£450,,Female,Booked,Booked,NA,,Fully furnished,Included all Bills,1 Sep 2026,Deposit + 1 Month,12 Months,,
,,First,5,Big Double,2,,£475,,,Available (ON HOLD) - Kanchi,Available,NA,,Fully furnished,Included all Bills,1 Sep 2026,Deposit + 1 Month,12 Months,,
"Clifton Court, St John's Wood NW8 8HT",London,Three,1,Big Double,2,"2 
Communal Washrooms",£825,,Female,Booked,Booked,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,12 Months,Media Link,"- This newly refurbished apartment features spacious bedrooms with built-in wardrobes, a sleek minimalist kitchen with integrated appliances, and designer marble-effect bathrooms.
- Residents benefit from a porter, lift access, and beautiful communal gardens.
- Perfectly positioned between St John's Wood and Little Venice, steps from Regent’s Canal and Lord’s Cricket Ground.

Distance to Top universities

UCL: 19 min 
KCL - 40 mins
LBS: 23 mins walk
University of Westminster: 24 mins
Bayes Business School: 34 mins

Transport & Connectivity

Warwick Avenue Station (Bakerloo): 8 min walk
Maida Vale Station (Bakerloo): 10 min walk
St John’s Wood Station (Jubilee): 15 min walk
Paddington Station (Elizabeth Line/National Rail): 12 min via bus/walk"
,,Three,2,Big Double,2,,£825,,Male,Booked,Booked,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,12 Months,,
,,Three,3,Big Double,2,,£825,,Male,Booked,Booked,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,12 Months,,
,,Three,4,Big Double,2,,£825,,Male,Booked,Booked,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,12 Months,,
,,Three,5,Double Ensuite,2,1 Ensuite Washroom,£900,,Female,Booked,Booked,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,1 month rent as deposit + First & Last months rent,12 Months,,
42 Disraeli Rd E7 9JP,London,Ground,1,Big double ensuite,2,1 Ensuite Washroom,£600,,Female,Booked,Booked,NA,,Fully furnished,"Excl Bills 
(Bills to be charged on actuals)",1 Sep 2026,"1 month rent as deposit + 
First & Last months rent",12 Months,Media Link,"- A well-positioned property on a quiet residential street in the heart of Forest Gate South, close to a wide range of shops, supermarkets, and everyday amenities. Wanstead Flats — one of East London's most popular green spaces — is also within easy reach.

- Forest Gate Elizabeth line station is approximately 8–10 mins walk, offering fast direct connections into Central London (Liverpool Street in ~12 mins). Multiple bus routes are also accessible within a short walk.

- The property benefits from excellent access to Stratford — less than 10 mins away — giving residents the full convenience of Westfield Shopping Centre, the Olympic Park, and Stratford's extensive transport hub (Elizabeth line, Jubilee, DLR & Overground).

Travel Times to Universities

QMUL Mile End — 30 mins
UEL Stratford — 22 mins
UEL Docklands — 30 mins
University of Greenwich — 40 mins
Ravensbourne — 38 mins
Bayes Business School — 32 mins
University of Law (Moorgate) — 28 mins
University of Law (Bloomsbury) — 38 mins
KCL Strand Campus — 40 mins
KCL Guy's Campus — 42 mins
UCL Bloomsbury — 40 mins
UCL East (Stratford) — 18 mins
Coventry University London — 25 mins
CU London Dagenham — 30 mins
ARU London (Charterhouse St) — 32 mins
UWS London (East India Dock) — 28 mins"
